Dates,Confirmed
08-Apr-20,1
09-Apr-20,1
10-Apr-20,1
11-Apr-20,1
12-Apr-20,1
13-Apr-20,1
14-Apr-20,1
15-Apr-20,1
16-Apr-20,1
17-Apr-20,1
18-Apr-20,1
19-Apr-20,1
20-Apr-20,1
21-Apr-20,1
22-Apr-20,1
23-Apr-20,1
24-Apr-20,1
25-Apr-20,1
26-Apr-20,2
27-Apr-20,2
28-Apr-20,2
29-Apr-20,2
30-Apr-20,2
31-Apr-20,2
01-May-20,3
02-May-20,4
03-May-20,4
04-May-20,5
05-May-20,4
06-May-20,3
07-May-20,3
08-May-20,3
09-May-20,3
10-May-20,3
11-May-20,4
12-May-20,4
13-May-20,4
14-May-20,4
15-May-20,10
