Dates,Confirmed
08-Apr-20,5
09-Apr-20,5
10-Apr-20,5
11-Apr-20,5
12-Apr-20,5
13-Apr-20,5
14-Apr-20,5
15-Apr-20,5
16-Apr-20,8
17-Apr-20,8
18-Apr-20,9
19-Apr-20,9
20-Apr-20,8
21-Apr-20,8
22-Apr-20,9
23-Apr-20,10
24-Apr-20,10
25-Apr-20,10
26-Apr-20,10
27-Apr-20,11
28-Apr-20,11
29-Apr-20,11
30-Apr-20,11
31-Apr-20,11
01-May-20,11
02-May-20,12
03-May-20,12
04-May-20,16
05-May-20,16
06-May-20,12
07-May-20,12
08-May-20,12
09-May-20,12
10-May-20,12
11-May-20,15
12-May-20,15
13-May-20,15
14-May-20,15
15-May-20,23
