Dates,Confirmed
08-Apr-20,1
09-Apr-20,1
10-Apr-20,1
11-Apr-20,1
12-Apr-20,1
13-Apr-20,1
14-Apr-20,9
15-Apr-20,9
16-Apr-20,9
17-Apr-20,9
18-Apr-20,9
19-Apr-20,9
20-Apr-20,8
21-Apr-20,8
22-Apr-20,9
23-Apr-20,9
24-Apr-20,9
25-Apr-20,9
26-Apr-20,9
27-Apr-20,9
28-Apr-20,9
29-Apr-20,9
30-Apr-20,9
31-Apr-20,9
01-May-20,9
02-May-20,9
03-May-20,10
04-May-20,10
05-May-20,11
06-May-20,15
07-May-20,15
08-May-20,15
09-May-20,15
10-May-20,15
11-May-20,15
12-May-20,15
13-May-20,15
14-May-20,15
15-May-20,17
