  
Date,Confirmed cases
2020-03-09	​	,2(+2)	
2020-03-10	​	,5(+3)	
2020-03-11	​	,8(+3)	
2020-03-12	​	,8(+0)	
2020-03-13	​	,10(+2)	
2020-03-14	​	,15(+5)	
2020-03-15	​	,16(+1)	
2020-03-16	​	,17(+1)	
2020-03-17	​	,19(+2)	
2020-03-18	​	,21(+2)	
2020-03-19	​	,21(+0)	
2020-03-20	​	,23(+2)	
2020-03-21	​	,25(+2)	
2020-03-22	​	,29(+4)	
2020-03-23	​	,30(+1)	
2020-03-24	​	,33(+3)	
2020-03-25	​	,33(+0)	
2020-03-26	​​	,34(+1)	
2020-03-27	​​	,34(+0)	
2020-03-28	​​	,38(+4)	
2020-03-29	​​	,38(+0)	
2020-03-30	​​​	,42(+5)	
2020-03-31	​​​	,47(+5)	
2020-04-01	​​​	,49(+2)	
2020-04-02	​​​	,60(+11)	
2020-04-03	​​​	,69(+9)	
2020-04-04	​​​	,81(+12)	
2020-04-05	​​​	,99(+18)	
2020-04-06	​​​	,140(+41)	
2020-04-07	​​​	,150(+10)	
2020-04-08	​​​	,188(+38)	
2020-04-09	​​​	,206(+18)	
2020-04-10	​​​	,248(+42)	
2020-04-11	​​​	,257(+9)	
2020-04-12	​​​	,263(+6)	
2020-04-13	​​​	,308(+45)	
2020-04-14	​​​	,351(+43)	
2020-04-15	​​​	,407(+56)	
2020-04-16	​​​	,473(+66)	
2020-04-17	​​​	,504(+31)	
2020-04-18	​​​	,591(+87)	
2020-04-19	​​​	,611(+20)	
2020-04-20	​​​	,663(+52)	
2020-04-21	​​​	,716(+53)	
2020-04-22	​​​	,805(+89)	
2020-04-23	​​​	,910(+105)	
2020-04-24	​​​	,961(+51)	
2020-04-25	​​​	,1030(+69)	
2020-04-26	​​​	,1052(+22)	
2020-04-27	​​​	,1099(+47)	
2020-04-28	​​​	,1174(+75)	
2020-04-29	​​​	,1199(+25)	
2020-04-30	​​​	,1284(+85)	
2020-05-01	​​​	,1316(+32)	
2020-05-02	​​​	,1339(+23)	
2020-05-03	​​​	,1396(+57)	
2020-05-04	​​​	,2018(+622)	
2020-05-05	​​​	,2062(+44)	
2020-05-06	​​​	,2087(+25)	
2020-05-07	​​​	,2129(+42)	
2020-05-08	​​​	,2177(+48)	
2020-05-09	​​​	,2225(+48)	
2020-05-10	​​​	,2679(+454)	
2020-05-11	​​​	,2789(+110)	
2020-05-12	​​​	,2937(+148)	
2020-05-13	​​​	,3161(+188)	
2020-05-14	​​​	,3314(+153)	
2020-05-15	​​​	,3481(+167)	
2020-05-16	​​​	,3647(+166)
